bigram,count
kalo aku,996
i k,994
penegakan disiplin,994
masker amp,993
tetap menerapkan,992
masker meminimalisir,991
dimanapun berada,991
wisma atlet,991
gejala covid,989
order sini,989
motif order,989
sini yuu,989
novel baswedan,988
jam malam,987
anti corona,987
penanganan pandemi,987
patuhi prokes,985
meminimalisir penyebaran,985
ga tau,985
lebih banyak,985
tegakkan disiplin,984
tetap https,983
ga usah,983
wiyoto wiyono,982
lakukan mencegah,981
pengguna jalan,981
selalu menerapkan,980
ir wiyoto,980
yuk sama,979
bukan berarti,979
pasien corona,979
tik bid,978
aku udah,978
menjadi kebiasaan,977
selama covid,977
tetap sehat,977
uji coba,975
1 5,974
sama https,973
tol ir,973
kota bogor,972
soal psbb,972
wajib masker,971
negatif covid,971
gaya hidup,970
19 polres,970
tes covid,969
bi https,969
corona aku,968
terapkan psbb,967
nusa ii,967
msaid didu,967
hukum protokol,966
sayangi diri,965
karna corona,965
buat yg,965
dapatkan shopee,965
menangani covid,963
meng https,962
internal polri,961
corona yg,961
blz0121v berna,959
penyebaran https,959
menjadi kunci,956
bhabinkamtibmas kel,956
gt https,953
masker benar,953
protoko https,951
juta masker,949
kementerian lembaga,948
terkena covid,948
langgar protokol,947
karna pandemi,946
jadi ga,946
kak aku,945
diri corona,943
jawa tengah,943
masyarakat tetap,941
takut covid,940
aturan berlalu,939
polres klungkung,939
7581 https,939
apa kabar,936
corona gak,934
17 agustus,933
sama jaga,933
rokan hulu,932
pandemi udah,932
jilid 2,931
ko corona,930
wujudkan pilkada,930
penanggulangan covid,929
tes swab,929
kesehata https,927
protokol keseh,926
psbb psbb,925
pemerintah https,924
apa aja,923
polres rokan,922
corona nya,919
tinjau penanganan,918
gak usah,918
kalung anti,911
keseha https,911
kesehatan aturan,907
negara https,907
pandemi banyak,907
selalu mencuci,906
indonesia maju,905
masker tp,905
3 https,905
aku yg,904
biasakan si,903
sosialisasi patuhi,903
mau keluar,903
aturan protokol,902
sendiri orang,901
proto https,901
wiyono msc,901
dirgahayu republik,900
pemerintah kementerian,898
wakapolri tinjau,897
siap siap,896
banyak https,896
pake https,893
kesehatan pakai,893
cepat berakhir,893
aman covid,892
gawe masker,892
arus lalin,892
corona kafir,890
menjual masker,890
menghadapi pandemi,889
wabah corona,888
covid aja,888
provokasi dimasa,887
terus https,887
benda penting,886
halo sobat,886
aku pengen,886
baca berita,884
1 2,884
musim covid,884
kesehatan salah,883
korea selatan,883
per https,883
corona makin,882
mitega india,882
hari rabu,881
maaf atas,881
taat protokol,881
gak tau,881
19 sekarang,880
ayo gunakan,880
tertular covid,880
kemana mana,880
ga pandemi,880
gak https,879
yg lebih,878
lupa https,877
kesehatan kunci,876
tetap memperhatikan,876
efek pandemi,875
19 berakhir,875
ri ke,872
budayakan 3m,872
sama temen,871
orang positif,870
lupa tetap,869
pilkada https,869
jualan yg,868
ojo lali,868
gini https,867
humaspolda jabar,864
menjaga kebersihan,864
polri jangan,864
selamat sore,864
kampanyekan pemakaian,863
pan https,863
kan psbb,863
propam tegakkan,861
lupa cuci,860
banget sama,860
